oaCode,totalPopulation,totalHouseholds,personsPerHousehold
11240510010001,416,160,2.6
11240510010002,564,267,2.1
11240510010003,601,282,2.1
11240510010004,409,189,2.2
11240510010005,493,220,2.2
11240510010006,442,202,2.2
11240510010007,424,214,2
11240510010008,570,246,2.3
11240510010009,490,217,2.3
11240510010010,507,234,2.2
11240510010011,539,238,2.3
11240510010012,499,234,2.1
11240510010013,553,244,2.3
11240510010014,419,175,2.4
11240510010015,544,201,2.7
11240510010016,570,250,2.3
11240510010101,635,235,2.7
11240510010201,536,200,2.7
11240510010202,596,242,2.5
11240510010301,632,234,2.7
11240510010302,505,193,2.6
11240510010303,476,179,2.7
11240510010304,483,177,2.7
11240520010001,376,195,1.9
11240520010002,609,318,1.9
11240520010003,427,176,2.4
11240520010004,331,173,1.9
11240520010005,504,254,2
11240520010006,390,176,2.2
11240520010007,473,258,1.8
11240520010008,616,304,2
11240520010009,390,205,1.9
11240520010010,608,294,2.1
11240520010011,356,57,6.2
11240520010012,553,274,2
11240520010013,506,215,2.4
11240520010014,476,253,1.9
11240520010015,346,134,2.6
11240520010016,475,256,1.9
11240520010017,582,287,2
11240520010018,576,384,1.5
11240520010020,0,0,0
11240520010021,453,209,2.2
11240520010201,390,150,2.6
11240520010202,421,146,2.9
11240520010203,451,173,2.6
11240520010204,601,224,2.7
11240520010301,382,139,2.7
11240520010302,371,128,2.9
11240520010501,424,217,2
11240520010502,363,147,2.5
11240520010503,578,192,3
11240520010601,604,223,2.7
11240520010602,459,149,3.1
11240520010603,504,163,3.1
11240520010604,372,124,3
11240520010605,486,210,2.3
11240520010701,377,138,2.7
11240520011201,474,152,3.1
11240520011202,463,232,2
11240520011401,503,184,2.7
11240520011501,474,166,2.9
11240520011601,555,217,2.6
11240520011602,488,186,2.6
11240520011701,338,114,3
11240520011801,390,134,2.9
11240520011802,464,176,2.6
11240520011803,337,119,2.8
11240520020001,362,34,10.6
11240520020101,578,219,2.6
11240520020102,492,179,2.7
11240520020103,376,140,2.7
11240520020104,381,144,2.6
11240530010001,472,234,2
11240530010002,493,272,1.8
11240530010003,402,198,2
11240530010004,399,186,2.1
11240530010005,460,246,1.9
11240530010006,493,271,1.8
11240530010007,600,255,2.4
11240530010008,487,245,2
11240530010009,496,194,2.6
11240530010010,574,259,2.2
11240530010011,586,336,1.7
11240530010012,488,230,2.1
11240530010013,516,220,2.3
11240530010301,397,142,2.8
11240530010501,833,303,2.7
11240530020001,469,238,2
11240530020002,46,17,2.7
11240530020003,388,235,1.7
11240530020004,330,156,2.1
11240530020101,508,181,2.8
11240530020102,516,190,2.7
11240530020103,334,118,2.8
11240530020201,373,128,2.9
11240530020202,331,130,2.5
11240530020301,431,140,3.1
11240540010001,515,199,2.6
11240540010002,420,218,1.9
11240540010003,425,183,2.3
11240540010004,368,86,4.3
11240540010005,0,0,0
11240540010006,472,226,2.1
11240540010007,580,280,2.1
11240540010008,560,261,2.1
11240540010009,350,167,2.1
11240540010010,391,202,1.9
11240540010011,380,194,2
11240540010013,497,198,2.5
11240540010101,446,147,3
11240540010102,450,151,3
11240540010103,598,235,2.5
11240540010104,567,189,3
11240540010105,683,224,3
11240540010106,467,250,1.9
11240540010107,650,209,3.1
11240540010108,564,232,2.4
11240540010109,430,154,2.8
11240540010110,457,147,3.1
11240540010201,631,230,2.7
11240540010202,515,181,2.8
11240540010203,547,208,2.6
11240540010204,495,199,2.5
11240540010205,483,253,1.9
11240540010206,368,120,3.1
11240540010501,531,301,1.8
11240540010502,536,319,1.7
11240540010601,751,275,2.7
11240540010701,693,399,1.7
11240540010702,322,194,1.7
11240540010801,584,257,2.3
11240540010802,596,262,2.3
11240540010901,451,175,2.6
11240540010902,603,228,2.6
11240540010903,476,190,2.5
11240540011101,447,180,2.5
11240540011102,558,283,2
11240540011103,623,322,1.9
11240540011104,476,192,2.5
11240540011201,462,148,3.1
11240540011202,501,177,2.8
11240540011203,442,149,3
11240550010001,562,275,2
11240550010002,532,251,2.1
11240550010003,605,293,2.1
11240550010004,511,234,2.2
11240550010005,523,233,2.2
11240550010006,590,305,1.9
11240550010007,594,316,1.9
11240550010008,600,301,2
11240550010009,436,219,2
11240550010010,559,277,2
11240550010011,535,253,2.1
11240550010012,594,284,2.1
11240550010013,582,294,2
11240550010014,563,270,2.1
11240550010015,562,249,2.3
11240550010016,552,334,1.7
11240550010017,525,258,2
11240550010018,495,223,2.2
11240550010019,596,290,2.1
11240550010020,430,213,2
11240550010301,501,173,2.9
11240550010401,529,199,2.7
11240550010501,594,233,2.5
11240550010502,495,187,2.6
11240550010503,577,195,3
11240550010504,459,177,2.6
11240550010601,417,152,2.7
11240550010602,399,142,2.8
11240550010603,487,205,2.4
11240550010604,443,161,2.8
11240550010605,555,204,2.7
11240560010001,399,146,2.7
11240560010002,538,293,1.8
11240560010003,437,229,1.9
11240560010004,499,230,2.2
11240560010005,503,242,2.1
11240560010006,515,254,2
11240560010007,477,220,2.2
11240560010008,580,290,2
11240560010009,444,216,2.1
11240560010010,585,246,2.4
11240560010011,553,284,1.9
11240560010012,471,227,2.1
11240560010013,410,195,2.1
11240560010014,529,257,2.1
11240560010015,559,278,2
11240560010016,450,216,2.1
11240560010017,463,181,2.6
11240560010018,410,193,2.1
11240560010019,485,241,2
11240560010020,406,185,2.2
11240560010021,484,213,2.3
11240560010022,587,263,2.2
11240560010023,561,212,2.6
11240560010024,507,247,2.1
11240560010025,566,305,1.9
11240560010026,407,192,2.1
11240560010027,462,227,2
11240560010028,429,210,2
11240560010101,642,247,2.6
11240560010201,406,167,2.4
11240560010301,612,215,2.8
11240560010501,327,122,2.7
11240560010701,339,134,2.5
11240560011201,419,165,2.5
11240560011202,459,105,4.4
11240570010001,418,178,2.3
11240570010002,584,219,2.7
11240570010003,385,164,2.3
11240570010004,521,197,2.6
11240570010005,453,175,2.6
11240570010006,523,213,2.5
11240570010007,407,191,2.1
11240570010008,626,233,2.7
11240570010009,597,283,2.1
11240570010010,521,228,2.3
11240570010011,414,171,2.4
11240570010012,558,278,2
11240570010013,514,207,2.5
11240570010014,560,255,2.2
11240570010015,396,164,2.4
11240570010016,392,161,2.4
11240570010017,491,200,2.5
11240570010018,424,187,2.3
11240570010019,623,266,2.3
11240570010020,446,204,2.2
11240570010101,753,252,3
11240570010201,415,148,2.8
11240570010202,496,179,2.8
11240570010203,421,150,2.8
11240570010301,310,104,3
11240570010601,474,162,2.9
11240570010602,777,260,3
11240570010603,435,144,3
11240570010604,580,192,3
11240580010001,669,559,1.2
11240580010002,434,262,1.7
11240580010003,528,457,1.2
11240580010004,373,188,2
11240580010005,507,343,1.5
11240580010006,536,375,1.4
11240580010007,343,189,1.8
11240580010008,584,479,1.2
11240580010009,417,339,1.2
11240580010010,552,307,1.8
11240580010011,381,218,1.7
11240580010012,667,357,1.9
11240580010013,460,274,1.7
11240580010014,333,185,1.8
11240580010015,361,232,1.6
11240580010016,642,324,2
11240580010017,351,194,1.8
11240580010018,555,296,1.9
11240580010019,423,350,1.2
11240580010501,599,448,1.3
11240580010601,667,559,1.2
11240580010701,478,392,1.2
11240580010801,550,450,1.2
11240580010901,463,348,1.3
11240580020001,346,153,2.3
11240580020002,513,258,2
11240580020003,498,206,2.4
11240580020004,574,311,1.8
11240580020005,589,337,1.7
11240580020006,544,237,2.3
11240580020007,459,238,1.9
11240580020008,375,191,2
11240580020009,370,174,2.1
11240580020010,628,334,1.9
11240580020011,579,304,1.9
11240580020012,495,240,2.1
11240580020013,560,222,2.5
11240580020014,557,272,2
11240580020015,597,283,2.1
11240580020016,469,251,1.9
11240580020017,391,198,2
11240580020018,467,202,2.3
11240580020019,413,198,2.1
11240580020020,575,285,2
11240580020021,410,200,2.1
11240580020022,585,271,2.2
11240580020023,541,240,2.3
11240580020024,371,140,2.7
11240580020025,591,276,2.1
11240580020026,390,68,5.7
11240580020027,666,311,2.1
11240580020301,342,140,2.4
