pnu,address,dongName,landCategory,dominantUse,primaryZoning,zoningCode,totalFloorArea,ledgerBuildingCount,gisBuildingCount,totalHouseholds,totalUnits
1171010100102040001,서울특별시 송파구 잠실동,잠실동,대,제2종근린생활시설,제2종일반주거지역(7층이하),UQA122,443.4,0,1,0,0
1171010100102450010,서울특별시 송파구 잠실동,잠실동,대,공동주택,제2종일반주거지역,UQA122,658.9,0,1,0,0
1171010100101900010,서울특별시 송파구 잠실동,잠실동,대,제2종근린생활시설,제3종일반주거지역,UQA123,859.1,0,1,0,0
1171010100101900009,서울특별시 송파구 잠실동,잠실동,대,제2종근린생활시설,제3종일반주거지역,UQA123,309.2,0,1,0,0
1171010100101900008,서울특별시 송파구 잠실동,잠실동,대,제1종근린생활시설,제3종일반주거지역,UQA123,527.8,0,1,0,0
1171010100101900007,서울특별시 송파구 잠실동,잠실동,대,단독주택,제3종일반주거지역,UQA123,696.4,0,1,0,0
1171010100101900006,서울특별시 송파구 잠실동,잠실동,대,단독주택,제3종일반주거지역,UQA123,1213.1,0,1,0,0
1171010100101900005,서울특별시 송파구 잠실동,잠실동,대,제2종근린생활시설,제3종일반주거지역,UQA123,505.1,0,1,0,0
1171010100101900004,서울특별시 송파구 잠실동,잠실동,대,단독주택,제3종일반주거지역,UQA123,913.8,0,1,0,0
1171010100101900003,서울특별시 송파구 잠실동,잠실동,대,제1종근린생활시설,제3종일반주거지역,UQA123,472.8,0,1,0,0
1171010100101900002,서울특별시 송파구 잠실동,잠실동,대,제1종근린생활시설,제3종일반주거지역,UQA123,718.8,0,1,0,0
1171010100101900001,서울특별시 송파구 잠실동,잠실동,대,제2종근린생활시설,제3종일반주거지역,UQA123,881.9,0,1,0,0
1171010100101900000,서울특별시 송파구 잠실동,잠실동,대,제2종근린생활시설,제3종일반주거지역,UQA123,822,0,1,0,0
1171010100101890015,서울특별시 송파구 잠실동,잠실동,대,제2종근린생활시설,제3종일반주거지역,UQA123,524.6,0,1,0,0
1171010100103030011,서울특별시 송파구 잠실동,잠실동,대,단독주택,제2종일반주거지역,UQA122,248,0,1,0,0
1171010100101890014,서울특별시 송파구 잠실동,잠실동,대,제2종근린생활시설,제3종일반주거지역,UQA123,653.5,0,1,0,0
1171010100101890013,서울특별시 송파구 잠실동,잠실동,대,제2종근린생활시설,제3종일반주거지역,UQA123,715.5,0,1,0,0
1171010100101890012,서울특별시 송파구 잠실동,잠실동,대,제2종근린생활시설,제3종일반주거지역,UQA123,443.3,0,1,0,0
1171010100101890011,서울특별시 송파구 잠실동,잠실동,대,제2종근린생활시설,제3종일반주거지역,UQA123,747.9,0,2,0,0
1171010100101890010,서울특별시 송파구 잠실동,잠실동,대,제2종근린생활시설,제3종일반주거지역,UQA123,652.2,0,1,0,0
1171010100101890009,서울특별시 송파구 잠실동,잠실동,대,제2종근린생활시설,제3종일반주거지역,UQA123,869.2,0,1,0,0
1171010100101890008,서울특별시 송파구 잠실동,잠실동,대,제2종근린생활시설,제3종일반주거지역,UQA123,854.1,0,1,0,0
1171010100101890007,서울특별시 송파구 잠실동,잠실동,대,제2종근린생활시설,제3종일반주거지역,UQA123,814,0,1,0,0
1171010100101890006,서울특별시 송파구 잠실동,잠실동,대,제2종근린생활시설,제3종일반주거지역,UQA123,247.1,0,1,0,0
1171010100101890004,서울특별시 송파구 잠실동,잠실동,대,제2종근린생활시설,제3종일반주거지역,UQA123,1752.7,0,1,0,0
1171010100101890003,서울특별시 송파구 잠실동,잠실동,대,제2종근린생활시설,제3종일반주거지역,UQA123,997.1,0,1,0,0
