label,parcelCount,parcelShare,floorArea,floorAreaShare,households,units
비건축필지,10090,32.4,0,0,,
공동주택,7928,25.5,16556887.2,5.6,,
단독주택,7071,22.7,2139537.1,0.7,,
제2종근린생활시설,2495,8,2122221,0.7,,
제1종근린생활시설,2001,6.4,1534378.7,0.5,,
미상,497,1.6,264388578.9,90.2,,
업무시설,345,1.1,2400453.4,0.8,,
교육연구시설,187,0.6,1251182.7,0.4,,
노유자시설,123,0.4,99511.5,0,,
자동차관련시설,89,0.3,58978,0,,
숙박시설,85,0.3,162495.2,0.1,,
종교시설,79,0.3,253368.6,0.1,,
의료시설,37,0.1,559631.7,0.2,,
위험물저장및처리시설,26,0.1,14404,0,,
판매시설,25,0.1,1068995.2,0.4,,
문화및집회시설,16,0.1,210352.6,0.1,,
운동시설,16,0.1,209749.8,0.1,,
창고시설,15,0,7097.5,0,,
위락시설,4,0,3655.8,0,,
수련시설,2,0,27982.9,0,,
방송통신시설,2,0,8418,0,,
관광휴게시설,2,0,3557.1,0,,
동.식물 관련시설,2,0,299.6,0,,
공장,2,0,66.1,0,,
발전시설,1,0,10826.5,0,,
교정및군사시설,1,0,5342.5,0,,
근린생활시설,1,0,1643.6,0,,
